postcode,state,statistic_area
3108,VIC,Melbourne
3109,VIC,Melbourne
3111,VIC,Melbourne
3113,VIC,Melbourne
3114,VIC,Melbourne
3115,VIC,Melbourne
3116,VIC,Melbourne
3121,VIC,Melbourne
3122,VIC,Melbourne
3123,VIC,Melbourne
3124,VIC,Melbourne
3125,VIC,Melbourne
3126,VIC,Melbourne
3127,VIC,Melbourne
3128,VIC,Melbourne
3129,VIC,Melbourne
3130,VIC,Melbourne
3131,VIC,Melbourne
3132,VIC,Melbourne
3133,VIC,Melbourne
3134,VIC,Melbourne
3135,VIC,Melbourne
3136,VIC,Melbourne
3137,VIC,Melbourne
3138,VIC,Melbourne
3139,VIC,Melbourne
3140,VIC,Melbourne
3141,VIC,Melbourne
3142,VIC,Melbourne
3143,VIC,Melbourne
3144,VIC,Melbourne
3145,VIC,Melbourne
3146,VIC,Melbourne
3147,VIC,Melbourne
3148,VIC,Melbourne
3149,VIC,Melbourne
3150,VIC,Melbourne
3151,VIC,Melbourne
3152,VIC,Melbourne
3153,VIC,Melbourne
3154,VIC,Melbourne
3155,VIC,Melbourne
3156,VIC,Melbourne
3158,VIC,Melbourne
3159,VIC,Melbourne
3160,VIC,Melbourne
3161,VIC,Melbourne
3162,VIC,Melbourne
3163,VIC,Melbourne
3165,VIC,Melbourne
3166,VIC,Melbourne
3167,VIC,Melbourne
3168,VIC,Melbourne
3169,VIC,Melbourne
3170,VIC,Melbourne
3171,VIC,Melbourne
3172,VIC,Melbourne
3173,VIC,Melbourne
3174,VIC,Melbourne
3175,VIC,Melbourne
3177,VIC,Melbourne
3178,VIC,Melbourne
3179,VIC,Melbourne
3180,VIC,Melbourne
3181,VIC,Melbourne
3182,VIC,Melbourne
3183,VIC,Melbourne
3184,VIC,Melbourne
3185,VIC,Melbourne
3186,VIC,Melbourne
3187,VIC,Melbourne
3188,VIC,Melbourne
3189,VIC,Melbourne
3190,VIC,Melbourne
3191,VIC,Melbourne
3192,VIC,Melbourne
3193,VIC,Melbourne
3194,VIC,Melbourne
3195,VIC,Melbourne
3196,VIC,Melbourne
3197,VIC,Melbourne
3198,VIC,Melbourne
3199,VIC,Melbourne
3200,VIC,Melbourne
3201,VIC,Melbourne
3202,VIC,Melbourne
3204,VIC,Melbourne
3205,VIC,Melbourne
3206,VIC,Melbourne
3207,VIC,Melbourne
3211,VIC,Rest of VIC
3212,VIC,Rest of VIC
3213,VIC,Rest of VIC
3214,VIC,Rest of VIC
3215,VIC,Rest of VIC
3216,VIC,Rest of VIC
3217,VIC,Rest of VIC
3218,VIC,Rest of VIC
3219,VIC,Rest of VIC
3220,VIC,Rest of VIC
3221,VIC,Rest of VIC
3222,VIC,Rest of VIC
3223,VIC,Rest of VIC
3224,VIC,Rest of VIC
3225,VIC,Rest of VIC
3226,VIC,Rest of VIC
3227,VIC,Rest of VIC
3228,VIC,Rest of VIC
3230,VIC,Rest of VIC
3231,VIC,Rest of VIC
3232,VIC,Rest of VIC
3233,VIC,Rest of VIC
3234,VIC,Rest of VIC
3235,VIC,Rest of VIC
3236,VIC,Rest of VIC
3237,VIC,Rest of VIC
3238,VIC,Rest of VIC
3239,VIC,Rest of VIC
3240,VIC,Rest of VIC
3241,VIC,Rest of VIC
3242,VIC,Rest of VIC
3243,VIC,Rest of VIC
3249,VIC,Rest of VIC
3250,VIC,Rest of VIC
3251,VIC,Rest of VIC
3254,VIC,Rest of VIC
3260,VIC,Rest of VIC
3264,VIC,Rest of VIC
3265,VIC,Rest of VIC
3266,VIC,Rest of VIC
3267,VIC,Rest of VIC
3268,VIC,Rest of VIC
3269,VIC,Rest of VIC
3270,VIC,Rest of VIC
3271,VIC,Rest of VIC
3272,VIC,Rest of VIC
3273,VIC,Rest of VIC
3274,VIC,Rest of VIC
3275,VIC,Rest of VIC
3276,VIC,Rest of VIC
3277,VIC,Rest of VIC
3278,VIC,Rest of VIC
3279,VIC,Rest of VIC
3280,VIC,Rest of VIC
3281,VIC,Rest of VIC
3282,VIC,Rest of VIC
3283,VIC,Rest of VIC
3284,VIC,Rest of VIC
3285,VIC,Rest of VIC
3286,VIC,Rest of VIC
3287,VIC,Rest of VIC
3289,VIC,Rest of VIC
3292,VIC,Rest of VIC
3293,VIC,Rest of VIC
3294,VIC,Rest of VIC
3300,VIC,Rest of VIC
3301,VIC,Rest of VIC
3302,VIC,Rest of VIC
3303,VIC,Rest of VIC
3304,VIC,Rest of VIC
3305,VIC,Rest of VIC
3309,VIC,Rest of VIC
3310,VIC,Rest of VIC
3311,VIC,Rest of VIC
3312,VIC,Rest of VIC
3314,VIC,Rest of VIC
3315,VIC,Rest of VIC
3317,VIC,Rest of VIC
3318,VIC,Rest of VIC
3319,VIC,Rest of VIC
3321,VIC,Rest of VIC
3322,VIC,Rest of VIC
3323,VIC,Rest of VIC
3324,VIC,Rest of VIC
3325,VIC,Rest of VIC
3328,VIC,Rest of VIC
3329,VIC,Rest of VIC
3330,VIC,Rest of VIC
3331,VIC,Rest of VIC
3332,VIC,Rest of VIC
3333,VIC,Rest of VIC
3334,VIC,Rest of VIC
3335,VIC,Melbourne
3337,VIC,Melbourne
3338,VIC,Melbourne
3340,VIC,Rest of VIC
3341,VIC,Rest of VIC
3342,VIC,Rest of VIC
3345,VIC,Rest of VIC
3350,VIC,Rest of VIC
3351,VIC,Rest of VIC
3352,VIC,Rest of VIC
3355,VIC,Rest of VIC
3356,VIC,Rest of VIC
3357,VIC,Rest of VIC
3360,VIC,Rest of VIC
3361,VIC,Rest of VIC
3363,VIC,Rest of VIC
3364,VIC,Rest of VIC
3370,VIC,Rest of VIC
3371,VIC,Rest of VIC
3373,VIC,Rest of VIC
3374,VIC,Rest of VIC
3375,VIC,Rest of VIC
3377,VIC,Rest of VIC
3378,VIC,Rest of VIC
3379,VIC,Rest of VIC
3380,VIC,Rest of VIC
3381,VIC,Rest of VIC
3384,VIC,Rest of VIC
3385,VIC,Rest of VIC
3387,VIC,Rest of VIC
3388,VIC,Rest of VIC
3390,VIC,Rest of VIC
3391,VIC,Rest of VIC
3392,VIC,Rest of VIC
3393,VIC,Rest of VIC
3395,VIC,Rest of VIC
3396,VIC,Rest of VIC
3400,VIC,Rest of VIC
3401,VIC,Rest of VIC
3407,VIC,Rest of VIC
3409,VIC,Rest of VIC
3412,VIC,Rest of VIC
3413,VIC,Rest of VIC
3414,VIC,Rest of VIC
3415,VIC,Rest of VIC
3418,VIC,Rest of VIC
3419,VIC,Rest of VIC
3420,VIC,Rest of VIC
3423,VIC,Rest of VIC
3424,VIC,Rest of VIC
3427,VIC,Melbourne
3428,VIC,Melbourne
3429,VIC,Melbourne
3430,VIC,Melbourne
3431,VIC,Melbourne
3432,VIC,Melbourne
3433,VIC,Melbourne
3434,VIC,Melbourne
3435,VIC,Melbourne
3437,VIC,Melbourne
3438,VIC,Melbourne
3440,VIC,Melbourne
3441,VIC,Melbourne
